iter	Passed	Remaining
0	4	4069
1	7	3672
2	11	3709
3	14	3584
4	17	3506
5	20	3452
6	23	3369
7	26	3284
8	28	3171
9	30	3045
10	33	2971
11	35	2922
12	37	2860
13	39	2798
14	41	2728
15	42	2640
16	44	2581
17	46	2532
18	47	2454
19	49	2435
20	51	2414
21	53	2386
22	55	2365
23	57	2336
24	59	2314
25	60	2269
26	62	2239
27	63	2213
28	65	2187
29	66	2163
30	68	2146
31	70	2124
32	71	2099
33	72	2073
34	74	2045
35	75	2021
36	76	1997
37	78	1978
38	79	1963
39	80	1943
40	82	1927
41	83	1912
42	85	1893
43	86	1878
44	87	1861
45	89	1847
46	90	1831
47	91	1818
48	92	1803
49	94	1788
50	95	1775
51	96	1765
52	97	1748
53	99	1739
54	100	1728
55	101	1719
56	103	1708
57	104	1697
58	105	1689
59	107	1681
60	108	1670
61	109	1661
62	110	1647
63	112	1639
64	113	1631
65	114	1626
66	116	1617
67	117	1610
68	118	1604
69	120	1595
70	121	1588
71	122	1581
72	124	1575
73	125	1568
74	127	1566
75	128	1560
76	129	1556
77	131	1548
78	131	1537
79	133	1535
80	135	1532
81	136	1526
82	137	1520
83	139	1517
84	140	1511
85	141	1505
86	142	1500
87	144	1494
88	145	1490
89	146	1485
90	147	1476
91	148	1470
92	150	1466
93	151	1463
94	153	1458
95	154	1454
96	155	1449
97	157	1445
98	158	1442
99	159	1432
100	160	1427
101	161	1425
102	163	1423
103	165	1422
104	166	1421
105	168	1417
106	169	1416
107	171	1412
108	172	1409
109	173	1406
110	175	1402
111	176	1399
112	177	1395
113	179	1394
114	180	1390
115	181	1386
116	183	1383
117	184	1380
118	185	1376
119	187	1373
120	188	1371
121	190	1368
122	191	1364
123	193	1363
124	194	1362
125	195	1358
126	197	1354
127	198	1352
128	199	1349
129	201	1345
130	202	1342
131	203	1338
132	204	1336
133	206	1332
134	207	1329
135	208	1326
136	210	1326
137	211	1324
138	213	1321
139	214	1318
140	215	1313
141	216	1310
142	218	1309
143	219	1306
144	221	1304
145	222	1302
146	223	1299
147	225	1296
148	226	1295
149	228	1292
150	229	1289
151	230	1286
152	231	1283
153	233	1280
154	234	1278
155	235	1275
156	236	1272
157	238	1269
158	239	1267
159	240	1264
160	242	1264
161	244	1262
162	245	1260
163	246	1258
164	248	1255
165	249	1252
166	250	1249
167	251	1246
168	252	1243
169	254	1240
170	255	1238
171	256	1235
172	257	1232
173	259	1230
174	260	1229
175	262	1228
176	264	1227
177	265	1225
178	266	1224
179	268	1222
180	269	1220
181	270	1217
182	272	1215
183	273	1213
184	275	1213
185	275	1207
186	277	1204
187	278	1202
188	279	1200
189	280	1197
190	282	1195
191	283	1193
192	284	1191
193	286	1189
194	287	1187
195	289	1185
196	290	1184
197	292	1183
198	293	1181
199	294	1178
200	295	1176
201	297	1173
202	298	1171
203	299	1167
204	300	1165
205	301	1163
206	303	1161
207	304	1159
208	306	1158
209	307	1157
210	309	1156
211	310	1154
212	311	1152
213	313	1150
214	314	1148
215	315	1146
216	317	1144
217	318	1143
218	320	1141
219	321	1140
220	323	1139
221	324	1137
222	325	1134
223	326	1132
224	328	1130
225	329	1128
226	330	1126
227	332	1124
228	333	1122
229	334	1120
230	335	1118
231	337	1116
232	338	1115
233	340	1114
234	341	1112
235	342	1110
236	344	1107
237	345	1105
238	346	1104
239	348	1102
240	349	1100
241	350	1098
242	352	1096
243	353	1094
244	354	1093
245	356	1092
246	357	1090
247	359	1088
248	360	1086
249	361	1085
250	363	1083
251	364	1081
252	365	1080
253	367	1078
254	368	1076
255	370	1075
256	371	1074
257	373	1072
258	374	1071
259	375	1069
260	377	1067
261	378	1066
262	379	1063
263	380	1062
264	382	1060
265	383	1059
266	385	1057
267	386	1056
268	388	1054
269	389	1052
270	390	1051
271	391	1048
272	393	1047
273	394	1045
274	395	1043
275	397	1041
276	398	1039
277	399	1037
278	400	1035
279	402	1034
280	404	1034
281	405	1033
282	407	1031
283	408	1030
284	410	1029
285	411	1028
286	413	1026
287	414	1024
288	415	1022
289	416	1019
290	417	1018
291	419	1016
292	420	1015
293	422	1013
294	423	1012
295	424	1010
296	425	1008
297	427	1006
298	428	1004
299	429	1002
300	431	1000
301	432	999
302	434	998
303	435	996
304	436	995
305	437	993
306	439	991
307	440	989
308	441	987
309	442	985
310	444	983
311	445	982
312	446	980
313	447	978
314	449	977
315	451	976
316	452	974
317	453	972
318	454	971
319	456	969
320	457	968
321	458	965
322	459	963
323	461	962
324	462	961
325	463	959
326	465	958
327	466	956
328	468	954
329	469	953
330	470	951
331	472	950
332	473	948
333	474	946
334	475	944
335	477	942
336	478	941
337	479	939
338	481	938
339	482	937
340	484	935
341	485	934
342	487	933
343	488	931
344	489	930
345	491	928
346	492	926
347	493	925
348	494	923
349	496	921
350	497	920
351	499	919
352	500	917
353	501	915
354	502	913
355	504	911
356	505	910
357	506	908
358	508	907
359	509	905
360	510	904
361	512	902
362	513	901
363	515	900
364	516	898
365	518	897
366	519	895
367	520	894
368	522	892
369	523	891
370	524	889
371	526	888
372	527	887
373	529	885
374	530	884
375	531	882
376	533	881
377	534	879
378	535	877
379	537	876
380	538	874
381	539	873
382	541	871
383	542	869
384	543	868
385	544	866
386	546	865
387	547	864
388	549	862
389	550	860
390	551	858
391	552	857
392	553	855
393	555	853
394	556	852
395	557	850
396	559	849
397	560	847
398	561	846
399	563	845
400	564	843
401	565	841
402	567	840
403	568	838
404	569	837
405	571	835
406	572	834
407	573	832
408	574	830
409	576	829
410	577	827
411	579	826
412	580	824
413	581	823
414	583	821
415	584	820
416	585	819
417	587	817
418	588	815
419	589	814
420	590	812
421	592	810
422	593	809
423	594	808
424	596	806
425	597	805
426	599	804
427	600	802
428	601	801
429	603	799
430	604	797
431	605	796
432	606	794
433	608	793
434	609	791
435	611	790
436	612	788
437	613	787
438	614	785
439	616	784
440	617	782
441	618	781
442	619	779
443	621	778
444	622	776
445	624	775
446	625	773
447	627	772
448	628	771
449	629	769
450	630	767
451	632	766
452	633	764
453	634	763
454	636	761
455	637	760
456	639	759
457	640	757
458	641	756
459	643	755
460	644	753
461	646	752
462	647	751
463	648	749
464	650	748
465	651	746
466	652	745
467	654	743
468	655	742
469	657	740
470	658	739
471	659	738
472	661	736
473	662	735
474	663	733
475	665	732
476	666	730
477	667	728
478	668	727
479	670	726
480	671	724
481	673	723
482	674	722
483	676	720
484	677	719
485	678	717
486	679	716
487	680	714
488	682	713
489	683	711
490	684	710
491	686	708
492	687	707
493	689	705
494	690	704
495	692	703
496	694	702
497	695	701
498	696	699
499	698	698
500	699	696
501	700	695
502	702	693
503	703	692
504	704	690
505	706	689
506	707	688
507	708	686
508	710	685
509	711	683
510	712	682
511	713	680
512	715	678
513	716	677
514	717	676
515	719	674
516	720	672
517	722	671
518	723	670
519	724	669
520	726	667
521	727	666
522	728	664
523	730	663
524	731	661
525	732	660
526	733	658
527	735	657
528	736	655
529	737	654
530	739	652
531	740	651
532	741	649
533	742	648
534	744	646
535	745	645
536	746	643
537	748	642
538	749	641
539	750	639
540	752	638
541	753	636
542	755	635
543	756	634
544	757	632
545	759	631
546	760	629
547	761	628
548	763	626
549	764	625
550	765	623
551	766	622
552	767	620
553	769	619
554	771	618
555	772	616
556	773	615
557	774	613
558	776	612
559	777	610
560	778	609
561	780	607
562	781	606
563	782	605
564	783	603
565	785	602
566	786	600
567	788	599
568	789	598
569	790	596
570	792	595
571	793	593
572	794	592
573	795	590
574	797	589
575	798	587
576	799	586
577	800	584
578	803	584
579	804	582
580	806	581
581	807	580
582	808	578
583	810	577
584	811	575
585	812	574
586	813	572
587	815	571
588	816	569
589	818	568
590	819	567
591	820	565
592	822	564
593	823	562
594	824	561
595	825	559
596	827	558
597	828	556
598	829	555
599	830	553
600	832	552
601	833	551
602	835	549
603	836	548
604	838	547
605	839	545
606	840	544
607	841	542
608	843	541
609	844	540
610	846	538
611	847	537
612	848	535
613	850	534
614	851	533
615	852	531
616	853	530
617	855	528
618	856	527
619	857	525
620	859	524
621	860	522
622	861	521
623	862	519
624	863	518
625	865	517
626	867	515
627	868	514
628	869	513
629	870	511
630	872	510
631	873	508
632	874	507
633	875	505
634	877	504
635	878	502
636	880	501
637	881	500
638	883	499
639	884	497
640	886	496
641	887	494
642	888	493
643	890	492
644	891	490
645	892	489
646	893	487
647	895	486
648	896	484
649	898	483
650	899	482
651	901	481
652	902	479
653	903	478
654	905	476
655	906	475
656	907	474
657	909	472
658	910	471
659	911	469
660	913	468
661	914	467
662	916	465
663	917	464
664	918	462
665	920	461
666	921	460
667	922	458
668	924	457
669	925	455
670	926	454
671	928	452
672	929	451
673	930	450
674	932	448
675	933	447
676	935	446
677	936	444
678	937	443
679	939	441
680	940	440
681	941	439
682	942	437
683	944	436
684	945	434
685	947	433
686	948	432
687	949	430
688	951	429
689	952	427
690	953	426
691	954	424
692	956	423
693	957	422
694	958	420
695	959	419
696	961	417
697	962	416
698	963	415
699	965	413
700	966	412
701	967	410
702	968	409
703	970	407
704	971	406
705	972	405
706	973	403
707	975	402
708	976	400
709	977	399
710	979	398
711	980	396
712	982	395
713	983	393
714	984	392
715	985	391
716	987	389
717	988	388
718	989	386
719	990	385
720	992	383
721	993	382
722	995	381
723	996	379
724	998	378
725	999	377
726	1001	375
727	1002	374
728	1004	373
729	1005	371
730	1006	370
731	1008	369
732	1009	367
733	1011	366
734	1012	364
735	1013	363
736	1014	362
737	1015	360
738	1017	359
739	1018	357
740	1019	356
741	1020	354
742	1021	353
743	1022	351
744	1024	350
745	1025	349
746	1027	347
747	1028	346
748	1030	345
749	1031	343
